Number of notes: 758

(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest half>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest dotted-quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest dotted-quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest 1.25ql>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest half>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest dotted-quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest 2.25ql>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest 1.25ql>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest dotted-quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest half>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest half>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
