Number of notes: 758

onset_beats
duration_beats
midi_pitch
ir_symbol

147.5,0.5,0,rest
148.0,0.75,0,rest
148.75,0.25,0,rest
149.0,1.0,0,rest
150.0,0.5,0,rest
150.5,1.5,0,rest
152.0,1.0,0,rest
153.0,1.5,0,rest
154.5,0.25,0,rest
154.75,0.25,0,rest
155.0,1.0,0,rest
156.0,0.5,0,rest
156.5,2.0,0,rest
158.5,0.5,0,rest
159.0,1.0,0,rest
160.0,0.75,0,rest
160.75,0.25,0,rest
161.0,1.0,0,rest
162.0,0.5,0,rest
162.5,1.0,0,rest
163.5,0.5,0,rest
164.0,1.5,0,rest
165.5,0.5,0,rest
166.0,0.75,0,rest
166.75,0.25,0,rest
167.0,1.0,0,rest
168.0,0.5,0,rest
168.5,1.0,0,rest
169.5,0.5,0,rest
170.0,0.5,0,rest
170.5,1.0,0,rest
171.5,0.25,0,rest
171.75,0.25,0,rest
172.0,2.75,0,rest
174.75,0.25,0,rest
175.0,0.75,0,rest
175.75,0.25,0,rest
176.0,0.5,0,rest
176.5,0.5,0,rest
177.0,0.5,0,rest
177.5,0.25,0,rest
177.75,0.25,0,rest
178.0,0.25,0,rest
178.25,0.5,0,rest
178.75,0.75,0,rest
179.5,0.5,0,rest
180.0,0.75,0,rest
180.75,0.25,0,rest
181.0,0.75,0,rest
181.75,0.25,0,rest
182.0,1.0,0,rest
183.0,0.5,0,rest
183.5,0.5,0,rest
184.0,0.5,0,rest
184.5,0.5,0,rest
185.0,1.75,0,rest
186.75,0.25,0,rest
187.0,1.0,0,rest
188.0,0.5,0,rest
188.5,2.0,0,rest
190.5,0.5,0,rest
191.0,1.0,0,rest
192.0,1.5,0,rest
193.5,0.5,0,rest
194.0,0.75,0,rest
194.75,0.25,0,rest
195.0,1.0,0,rest
196.0,0.5,0,rest
196.5,0.75,0,rest
197.25,0.5,0,rest
197.75,0.25,0,rest
198.0,1.5,0,rest
199.5,0.5,0,rest
200.0,0.75,0,rest
200.75,0.25,0,rest
201.0,0.5,0,rest
201.5,1.25,0,rest
202.75,0.25,0,rest
203.0,0.75,0,rest
203.75,0.25,0,rest
204.0,0.5,0,rest
204.5,2.0,0,rest
206.5,0.5,0,rest
207.0,1.0,0,rest
208.0,1.0,0,rest
209.0,0.5,0,rest
209.5,0.5,0,rest
210.0,1.5,0,rest
211.5,0.5,0,rest
212.0,0.75,0,rest
212.75,2.25,0,rest
215.0,1.0,0,rest
216.0,1.25,0,rest
217.25,0.25,0,rest
217.5,1.0,0,rest
218.5,0.5,0,rest
219.0,1.0,0,rest
220.0,0.75,0,rest
220.75,0.25,0,rest
221.0,1.0,0,rest
222.0,0.5,0,rest
222.5,1.5,0,rest
224.0,0.5,0,rest
224.5,0.5,0,rest
225.0,0.5,0,rest
225.5,2.0,0,rest
227.5,0.5,0,rest
228.0,2.0,0,rest
230.0,0.5,0,rest
230.5,1.5,0,rest
232.0,2.5,0,rest
234.5,0.25,0,rest
234.75,0.25,0,rest
235.0,1.0,0,rest
236.0,0.5,0,rest
236.5,0.25,0,rest
236.75,0.25,0,rest
237.0,1.25,0,rest
238.25,1.75,0,rest
240.0,2/3,0,rest
722/3,2/3,0,rest
724/3,2/3,0,rest
242.0,0.25,0,rest
242.25,0.25,0,rest
242.5,1.25,0,rest
243.75,0.25,0,rest
244.0,1.0,0,rest
245.0,0.25,0,rest
245.25,0.5,0,rest
245.75,2.25,0,rest
0.0,2.0,60,ID
0.25,1.75,64,ID
2.0,2.0,60,ID
2.25,1.75,64,IP
4.0,2.0,60,IP
4.25,1.75,62,IP
6.0,2.0,60,IP
6.25,1.75,62,IP
8.0,2.0,59,IP
8.25,1.75,62,ID
10.0,2.0,59,ID
10.25,1.75,62,ID
12.0,2.0,60,ID
12.25,1.75,64,ID
14.0,2.0,60,ID
14.25,1.75,64,ID
16.0,2.0,60,ID
16.25,1.75,64,ID
18.0,2.0,60,ID
18.25,1.75,64,ID
20.0,2.0,60,ID
20.25,1.75,62,ID
22.0,2.0,60,ID
22.25,1.75,62,ID
24.0,2.0,59,ID
24.25,1.75,62,ID
26.0,2.0,59,ID
26.25,1.75,62,IP
28.0,2.0,59,IP
28.25,1.75,60,IP
30.0,2.0,59,IP
30.25,1.75,60,IP
32.0,2.0,57,IP
32.25,1.75,60,ID
34.0,2.0,57,ID
34.25,1.75,60,ID
36.0,2.0,50,ID
36.25,1.75,57,ID
38.0,2.0,50,ID
38.25,1.75,57,IP
40.0,2.0,55,IP
40.25,1.75,59,IP
42.0,2.0,55,ID
42.25,1.75,59,ID
44.0,2.0,55,ID
44.25,1.75,58,ID
46.0,2.0,55,ID
46.25,1.75,58,ID
48.0,2.0,53,ID
48.25,1.75,57,ID
50.0,2.0,53,ID
50.25,1.75,57,IP
52.0,2.0,53,IP
52.25,1.75,56,IP
54.0,2.0,53,IP
54.25,1.75,56,IP
56.0,2.0,52,IP
56.25,1.75,55,ID
58.0,2.0,52,ID
58.25,1.75,55,ID
60.0,2.0,52,ID
60.25,1.75,53,ID
62.0,2.0,52,ID
62.25,1.75,53,ID
64.0,2.0,50,ID
64.25,1.75,53,ID
66.0,2.0,50,VR
66.25,1.75,53,VR
68.0,2.0,43,VR
68.25,1.75,50,ID
70.0,2.0,43,ID
